植物中文名,中文学名,拉丁名,科名
野漆树,野漆,Toxicodendron succedaneum (L.) Kuntze,漆树科
人面子树,人面子,Dracontomelon duperreanum Pierre,漆树科
山茶花,山茶,Camellia japonica L.,山茶科
落羽杉,落羽杉,Taxodium distichum (L.) Rich.,柏科
池杉,池杉,Taxodium distichum var. imbricarium (Nutt.) Croom,柏科
马尾松,马尾松,Pinus massoniana Lamb.,松科
湿地松,湿地松,Pinus elliottii Engelm.,松科
罗汉松,罗汉松,Podocarpus macrophyllus (Thunb.) D. Don,罗汉松科
香樟,樟,Camphora officinarum Nees,樟科
潺槁木姜子,潺槁木姜子,Litsea glutinosa (Lour.) C. B. Rob.,樟科
假柿木姜子,假柿木姜子,Litsea monopetala (Roxb.) Pers.,樟科
杨桃,杨桃,Averrhoa carambola L.,酢浆草科
红果仔,红果仔,Eugenia uniflora L.,桃金娘科
毛果杜英,毛果杜英,Elaeocarpus rugosus Roxb.,杜英科
木棉,木棉,Bombax ceiba L.,锦葵科
美丽异木棉,美丽异木棉,Ceiba speciosa (A.St.-Hil.) Ravenna,锦葵科
黄花风铃木,黄花风铃木,Handroanthus chrysanthus (Jacq.) S. O. Grose,紫葳科
秋枫,秋枫,Bischofia javanica Bl.,叶下珠科
血桐,血桐,Macaranga tanarius var. tomentosa (Blume) Müll. Arg.,大戟科
枇杷,枇杷,Eriobotrya japonica (Thunb.) Lindl.,蔷薇科
红花洋紫荆,红花羊蹄甲,Bauhinia blakeana Dunn,豆科
洋紫荆,白花宫粉羊蹄甲,Bauhinia variegata var. candida (Roxb.) Voigt,豆科
宫粉洋紫荆,宫粉羊蹄甲,Bauhinia variegata L.,豆科
木麻黄,木麻黄,Casuarina equisetifolia L.,木麻黄科
构树,构,Broussonetia papyrifera (L.) L'Hér. ex Vent.,桑科
垂叶榕,垂叶榕,Ficus benjamina L.,桑科
橡胶榕,印度榕,Ficus elastica Roxb. ex Hornem.,桑科
桑,桑,Morus alba L.,桑科
柠檬,柠檬,Citrus limon (L.) Burm. f.,芸香科
柚子,柚,Citrus maxima (Burm.) Merr.,芸香科
黄皮,黄皮,Clausena lansium (Lour.) Skeels,芸香科
九里香,九里香,Murraya exotica L.,芸香科
簕欓花椒,簕欓花椒,Zanthoxylum avicennae (Lam.) DC.,芸香科
米仔兰,米仔兰,Aglaia odorata Lour.,楝科
苦楝,楝,Melia azedarach L.,楝科
桂花,木樨,Osmanthus fragrans (Thunb.) Lour.,木犀科
猫尾木,猫尾木,Markhamia stipulata (Wall.) Seem. ex K. Schum.,紫葳科
海南菜豆树,海南菜豆树,Radermachera hainanensis Merr.,紫葳科
红刺露兜,扇叶露兜树,Pandanus utilis Borg.,露兜树科
粉丹竹,蓉城竹,Phyllostachys bissetii McClure,禾本科
中华无忧树,中国无忧花,Saraca dives Pierre,豆科
山苍子,山鸡椒,Litsea cubeba (Lour.) Pers.,樟科
豺皮樟,豺皮樟,Litsea rotundifolia Hemsl. var. oblongifolia (Nees) Allen,樟科
海桐花,海桐,Pittosporum tobira (Thunb.) Ait.,海桐科
木荷,木荷,Schima superba Gardn. et Champ.,山茶科
黄牛木,黄牛木,Cratoxylum cochinchinense (Lour.) Bl.,金丝桃科
山杜英,山杜英,Elaeocarpus sylvestris (Lour.) Poir.,杜英科
白楸,白楸,Mallotus paniculatus (Lam.) Muell. Arg.,大戟科
海红豆,海红豆,Adenanthera pavonina L.,豆科
杨梅,杨梅,Myrica rubra (Lour.) S. et Zucc.,杨梅科
山黄麻,山黄麻,Trema tomentosa (Roxb.) Hara,大麻科
水同木,水同木,Ficus fistulosa Reinw. ex Bl.,桑科
变叶榕,变叶榕,Ficus variolosa Lindl. ex Benth.,桑科
三叉苦,三桠苦,Melicope pteleifolia (Champ. ex Benth.) Hartley,芸香科
鸦胆子,鸦胆子,Brucea javanica (L.) Merr.,苦木科
黄槐决明,黄槐,Senna surattensis (Burm. f.) H. S. Irwin et Barneby,豆科
二乔玉兰,二乔玉兰,Yulania × soulangeana (Soul.-Bod.) D. L. Fu,木兰科
木芙蓉,木芙蓉,Hibiscus mutabilis L.,锦葵科
菩提榕,菩提树,Ficus religiosa L.,桑科
千层金,溪畔白千层,Melaleuca bracteata F.Muell.,桃金娘科
小叶榄仁,小叶榄仁,Terminalia neotaliala Capuron,使君子科
