植物中文名,中文学名,拉丁名,观赏特性
鸭脚木,鹅掌柴,Heptapleurum heptaphyllum (L.) Y. F. Deng,观叶
银合欢,银合欢,Leucaena leucocephala (Lam.) de Wit,观花/观叶
盐肤木,盐肤木,Rhus chinensis Mill.,观叶/观果
野漆树,野漆,Toxicodendron succedaneum (L.) Kuntze,观叶
人面子树,人面子,Dracontomelon duperreanum Pierre,观叶/观果
山茶花,山茶,Camellia japonica L.,观花
落羽杉,落羽杉,Taxodium distichum (L.) Rich.,观叶/观株型
池杉,池杉,Taxodium distichum var. imbricarium (Nutt.) Croom,观叶/观株型
马尾松,马尾松,Pinus massoniana Lamb.,观叶/观株型
湿地松,湿地松,Pinus elliottii Engelm.,观叶/观株型
罗汉松,罗汉松,Podocarpus macrophyllus (Thunb.) D. Don,观叶/观株型
香樟,樟,Camphora officinarum Nees,观叶/观株型
潺槁木姜子,潺槁木姜子,Litsea glutinosa (Lour.) C. B. Rob.,观叶
假柿木姜子,假柿木姜子,Litsea monopetala (Roxb.) Pers.,观叶
杨桃,杨桃,Averrhoa carambola L.,观花/观果
红果仔,红果仔,Eugenia uniflora L.,观花/观果
毛果杜英,毛果杜英,Elaeocarpus rugosus Roxb.,观花/观叶
木棉,木棉,Bombax ceiba L.,观花
美丽异木棉,美丽异木棉,Ceiba speciosa (A.St.-Hil.) Ravenna,观花
黄花风铃木,黄花风铃木,Handroanthus chrysanthus (Jacq.) S. O. Grose,观花
秋枫,秋枫,Bischofia javanica Bl.,观叶/观株型
血桐,血桐,Macaranga tanarius var. tomentosa (Blume) Müll. Arg.,观叶
枇杷,枇杷,Eriobotrya japonica (Thunb.) Lindl.,观花/观叶/观果
红花洋紫荆,红花羊蹄甲,Bauhinia blakeana Dunn,观花
洋紫荆,白花宫粉羊蹄甲,Bauhinia variegata var. candida (Roxb.) Voigt,观花
宫粉洋紫荆,宫粉羊蹄甲,Bauhinia variegata L.,观花
木麻黄,木麻黄,Casuarina equisetifolia L.,观株型
构树,构,Broussonetia papyrifera (L.) L'Hér. ex Vent.,观叶/观果
垂叶榕,垂叶榕,Ficus benjamina L.,观叶/观株型
橡胶榕,印度榕,Ficus elastica Roxb. ex Hornem.,观叶
桑,桑,Morus alba L.,观叶/观果
柠檬,柠檬,Citrus limon (L.) Burm. f.,观花/观果
柚子,柚,Citrus maxima (Burm.) Merr.,观花/观果
黄皮,黄皮,Clausena lansium (Lour.) Skeels,观花/观果
九里香,九里香,Murraya exotica L.,观花/观叶
簕欓花椒,簕欓花椒,Zanthoxylum avicennae (Lam.) DC.,观叶
米仔兰,米仔兰,Aglaia odorata Lour.,观花
苦楝,楝,Melia azedarach L.,观花/观叶
桂花,木樨,Osmanthus fragrans (Thunb.) Lour.,观花
猫尾木,猫尾木,Markhamia stipulata (Wall.) Seem. ex K. Schum.,观花/观果
海南菜豆树,海南菜豆树,Radermachera hainanensis Merr.,观花/观叶
红刺露兜,扇叶露兜树,Pandanus utilis Borg.,观叶/观株型
粉丹竹,蓉城竹,Phyllostachys bissetii McClure,观叶/观株型
中华无忧树,中国无忧花,Saraca dives Pierre,观花
山苍子,山鸡椒,Litsea cubeba (Lour.) Pers.,观花/观果
豺皮樟,豺皮樟,Litsea rotundifolia Hemsl. var. oblongifolia (Nees) Allen,观叶
海桐花,海桐,Pittosporum tobira (Thunb.) Ait.,观花/观叶/观果
木荷,木荷,Schima superba Gardn. et Champ.,观花/观叶
黄牛木,黄牛木,Cratoxylum cochinchinense (Lour.) Bl.,观花/观叶
山杜英,山杜英,Elaeocarpus sylvestris (Lour.) Poir.,观花/观叶
白楸,白楸,Mallotus paniculatus (Lam.) Muell. Arg.,观叶
海红豆,海红豆,Adenanthera pavonina L.,观花/观果
杨梅,杨梅,Myrica rubra (Lour.) S. et Zucc.,观花/观果
山黄麻,山黄麻,Trema tomentosa (Roxb.) Hara,观叶
水同木,水同木,Ficus fistulosa Reinw. ex Bl.,观叶/观果
变叶榕,变叶榕,Ficus variolosa Lindl. ex Benth.,观叶/观果
三叉苦,三桠苦,Melicope pteleifolia (Champ. ex Benth.) Hartley,观叶
鸦胆子,鸦胆子,Brucea javanica (L.) Merr.,观叶/观果
黄槐决明,黄槐,Senna surattensis (Burm. f.) H. S. Irwin et Barneby,观花
二乔玉兰,二乔玉兰,Yulania × soulangeana (Soul.-Bod.) D. L. Fu,观花
木芙蓉,木芙蓉,Hibiscus mutabilis L.,观花
菩提榕,菩提树,Ficus religiosa L.,观叶/观株型
千层金,溪畔白千层,Melaleuca bracteata F.Muell.,观花/观叶
小叶榄仁,小叶榄仁,Terminalia neotaliala Capuron,观叶/观株型
