植物中文名,中文学名,拉丁名,果期
盐肤木,盐肤木,Rhus chinensis Mill.,10-11月
野漆树,野漆,Toxicodendron succedaneum (L.) Kuntze,7-10月
人面子树,人面子,Dracontomelon duperreanum Pierre,7-9月
山茶花,山茶,Camellia japonica L.,9-10月
落羽杉,落羽杉,Taxodium distichum (L.) Rich.,10-11月
池杉,池杉,Taxodium distichum var. imbricarium (Nutt.) Croom,10-11月
马尾松,马尾松,Pinus massoniana Lamb.,翌年10-12月
湿地松,湿地松,Pinus elliottii Engelm.,翌年9-10月
罗汉松,罗汉松,Podocarpus macrophyllus (Thunb.) D. Don,8-9月
香樟,樟,Camphora officinarum Nees,8-11月
潺槁木姜子,潺槁木姜子,Litsea glutinosa (Lour.) C. B. Rob.,翌年3-4月
假柿木姜子,假柿木姜子,Litsea monopetala (Roxb.) Pers.,翌年4-5月
杨桃,杨桃,Averrhoa carambola L.,7月至翌年2月
红果仔,红果仔,Eugenia uniflora L.,5-7月
毛果杜英,毛果杜英,Elaeocarpus rugosus Roxb.,9-10月
木棉,木棉,Bombax ceiba L.,5-6月
美丽异木棉,美丽异木棉,Ceiba speciosa (A.St.-Hil.) Ravenna,翌年3-5月
黄花风铃木,黄花风铃木,Handroanthus chrysanthus (Jacq.) S. O. Grose,5-6月
秋枫,秋枫,Bischofia javanica Bl.,8-10月
血桐,血桐,Macaranga tanarius var. tomentosa (Blume) Müll. Arg.,8-10月
枇杷,枇杷,Eriobotrya japonica (Thunb.) Lindl.,翌年5-6月
红花洋紫荆,红花羊蹄甲,Bauhinia blakeana Dunn,无果（不育）
洋紫荆,白花宫粉羊蹄甲,Bauhinia variegata var. candida (Roxb.) Voigt,7-9月
宫粉洋紫荆,宫粉羊蹄甲,Bauhinia variegata L.,7-9月
木麻黄,木麻黄,Casuarina equisetifolia L.,7-10月
构树,构,Broussonetia papyrifera (L.) L'Hér. ex Vent.,6-7月
垂叶榕,垂叶榕,Ficus benjamina L.,6-9月
橡胶榕,印度榕,Ficus elastica Roxb. ex Hornem.,7-11月
桑,桑,Morus alba L.,5-6月
柠檬,柠檬,Citrus limon (L.) Burm. f.,9-11月
柚子,柚,Citrus maxima (Burm.) Merr.,9-12月
黄皮,黄皮,Clausena lansium (Lour.) Skeels,7-8月
九里香,九里香,Murraya exotica L.,9-12月
簕欓花椒,簕欓花椒,Zanthoxylum avicennae (Lam.) DC.,7-9月
米仔兰,米仔兰,Aglaia odorata Lour.,7月至翌年3月
苦楝,楝,Melia azedarach L.,10-12月
桂花,木樨,Osmanthus fragrans (Thunb.) Lour.,翌年3月
猫尾木,猫尾木,Markhamia stipulata (Wall.) Seem. ex K. Schum.,翌年3-5月
海南菜豆树,海南菜豆树,Radermachera hainanensis Merr.,翌年3-5月
红刺露兜,扇叶露兜树,Pandanus utilis Borg.,7-10月
粉丹竹,蓉城竹,Phyllostachys bissetii McClure,笋期4月中、下旬
中华无忧树,中国无忧花,Saraca dives Pierre,5-8月
山苍子,山鸡椒,Litsea cubeba (Lour.) Pers.,7-8月
