植物中文名,中文学名,拉丁名,国外分布
凤凰木,凤凰木,Delonix regia (Boj. ex Hook.) Raf.,马达加斯加
椰子,椰子,Cocos nucifera L.,东南亚、大洋洲、非洲、美洲热带沿海地区
尾叶桉,尾叶桉,Eucalyptus urophylla S. T. Blake,印度尼西亚帝汶岛
柠檬桉,柠檬桉,Eucalyptus citriodora Hook. f.,澳大利亚
腊肠树,腊肠树,Cassia fistula L.,印度、缅甸、泰国、斯里兰卡
毛麻楝,麻楝,Chukrasia tabularis A. Juss.,印度、缅甸、泰国、越南、马来西亚、印度尼西亚、澳大利亚
银柴,银柴,Aporosa dioica (Roxb.) Müll.Arg.,印度、越南、泰国、马来西亚
毛黄肉楠,毛黄肉楠,Actinodaphne pilosa (Lour.) Merr.,越南
布渣叶,破布叶,Microcos paniculata L.,越南、泰国、柬埔寨、印度
火焰树,火焰树,Spathodea campanulata Beauv.,热带非洲
中华灰莉,灰莉,Fagraea ceilanica Thunb.,印度、斯里兰卡、缅甸、泰国、越南、马来西亚、菲律宾
假苹婆,假苹婆,Sterculia lanceolata Cav.,越南、印度
山乌桕,山乌桕,Triadica cochinchinensis Lour.,越南、泰国、印度
土密树,土蜜树,Bridelia tomentosa Bl.,印度、缅甸、泰国、越南、马来西亚
铁刀木,铁刀木,Senna siamea (Lam.) H. S. Irwin et Barneby,印度、缅甸、泰国、斯里兰卡、马来西亚
水翁,水翁蒲桃,Syzygium nervosum DC.,越南、老挝、柬埔寨
楝叶吴茱萸,楝叶吴萸,Tetradium glabrifolium (Champ. ex Benth.) T. G. Hartley,越南、泰国、印度
鸭脚木,鹅掌柴,Heptapleurum heptaphyllum (L.) Y. F. Deng,越南、日本
银合欢,银合欢,Leucaena leucocephala (Lam.) de Wit,中美洲、南美洲
盐肤木,盐肤木,Rhus chinensis Mill.,朝鲜、日本、越南、印度
野漆树,野漆,Toxicodendron succedaneum (L.) Kuntze,日本、越南、泰国、缅甸、印度
人面子树,人面子,Dracontomelon duperreanum Pierre,越南、老挝
山茶花,山茶,Camellia japonica L.,日本、朝鲜
落羽杉,落羽杉,Taxodium distichum (L.) Rich.,北美洲东南部
池杉,池杉,Taxodium distichum var. imbricarium (Nutt.) Croom,北美洲东南部
马尾松,马尾松,Pinus massoniana Lamb.,无
湿地松,湿地松,Pinus elliottii Engelm.,美国东南部
罗汉松,罗汉松,Podocarpus macrophyllus (Thunb.) D. Don,日本
香樟,樟,Camphora officinarum Nees,日本、朝鲜、越南
潺槁木姜子,潺槁木姜子,Litsea glutinosa (Lour.) C. B. Rob.,印度、缅甸、泰国、越南、马来西亚
假柿木姜子,假柿木姜子,Litsea monopetala (Roxb.) Pers.,印度、缅甸、尼泊尔
杨桃,杨桃,Averrhoa carambola L.,马来西亚、印度尼西亚
红果仔,红果仔,Eugenia uniflora L.,巴西
毛果杜英,毛果杜英,Elaeocarpus rugosus Roxb.,日本
木棉,木棉,Bombax ceiba L.,印度、斯里兰卡、缅甸、泰国、越南、马来西亚、印度尼西亚、澳大利亚
美丽异木棉,美丽异木棉,Ceiba speciosa (A.St.-Hil.) Ravenna,阿根廷、巴西、玻利维亚
黄花风铃木,黄花风铃木,Handroanthus chrysanthus (Jacq.) S. O. Grose,墨西哥、中美洲、委内瑞拉
秋枫,秋枫,Bischofia javanica Bl.,印度、缅甸、马来西亚、日本、菲律宾、越南、澳大利亚
血桐,血桐,Macaranga tanarius var. tomentosa (Blume) Müll. Arg.,日本、菲律宾、马来西亚、印度尼西亚
枇杷,枇杷,Eriobotrya japonica (Thunb.) Lindl.,日本
红花洋紫荆,红花羊蹄甲,Bauhinia blakeana Dunn,印度
洋紫荆,白花宫粉羊蹄甲,Bauhinia variegata var. candida (Roxb.) Voigt,印度、越南
