植物中文名,中文学名,拉丁名,花期
野漆树,野漆,Toxicodendron succedaneum (L.) Kuntze,4-5月
人面子树,人面子,Dracontomelon duperreanum Pierre,4-5月
山茶花,山茶,Camellia japonica L.,1-4月
落羽杉,落羽杉,Taxodium distichum (L.) Rich.,3-4月
池杉,池杉,Taxodium distichum var. imbricarium (Nutt.) Croom,3-4月
马尾松,马尾松,Pinus massoniana Lamb.,4-5月
湿地松,湿地松,Pinus elliottii Engelm.,3-4月
罗汉松,罗汉松,Podocarpus macrophyllus (Thunb.) D. Don,4-5月
香樟,樟,Camphora officinarum Nees,4-5月
潺槁木姜子,潺槁木姜子,Litsea glutinosa (Lour.) C. B. Rob.,8-9月
假柿木姜子,假柿木姜子,Litsea monopetala (Roxb.) Pers.,9-10月
杨桃,杨桃,Averrhoa carambola L.,4-12月
红果仔,红果仔,Eugenia uniflora L.,4-5月
毛果杜英,毛果杜英,Elaeocarpus rugosus Roxb.,4-5月
木棉,木棉,Bombax ceiba L.,3-4月
美丽异木棉,美丽异木棉,Ceiba speciosa (A.St.-Hil.) Ravenna,9-12月
黄花风铃木,黄花风铃木,Handroanthus chrysanthus (Jacq.) S. O. Grose,3-4月
秋枫,秋枫,Bischofia javanica Bl.,4-5月
血桐,血桐,Macaranga tanarius var. tomentosa (Blume) Müll. Arg.,4-7月
枇杷,枇杷,Eriobotrya japonica (Thunb.) Lindl.,10-12月
红花洋紫荆,红花羊蹄甲,Bauhinia blakeana Dunn,11月至翌年3月
洋紫荆,白花宫粉羊蹄甲,Bauhinia variegata var. candida (Roxb.) Voigt,3-5月
宫粉洋紫荆,宫粉羊蹄甲,Bauhinia variegata L.,3-5月
木麻黄,木麻黄,Casuarina equisetifolia L.,4-5月
构树,构,Broussonetia papyrifera (L.) L'Hér. ex Vent.,4-5月
垂叶榕,垂叶榕,Ficus benjamina L.,5-6月
橡胶榕,印度榕,Ficus elastica Roxb. ex Hornem.,5-7月
桑,桑,Morus alba L.,4-5月
